Pokemon	Power Points	Attack Points		 Type	
Bulbasaur	4	4	Starter	Grass	Poison
Ivysaur	7	7	Blue	Grass	Poison
Venusaur	7	8	Red	Grass	Poison
Charmander	5	4	Starter	Fire	
Charmeleon	7	7	Blue	Fire	
Charizard	7	8	Red	Fire	Flying
Squirtle	5	4	Starter	Water	
Wartortle	7	7	Blue	Water	
Blastoise	7	8	Red	Water	
Caterpie	2	1	Pink	Bug	
Metapod	4	3	Green	Bug	
Butterfree	6	5	Blue	Bug	Flying
Weedle	2	2	Pink	Bug	Poison
Kakuna	4	3	Green	Bug	Poison
Beedrill	6	5	Blue	Bug	Poison
Pidgey	2	2	Pink	Normal	Flying
Pidgeotto	4	4	Green	Normal	Flying
Pidgeot	6	6	Blue	Normal	Flying
Rattata	2	2	Pink	Normal	
Raticate	6	6	Blue	Normal	
Spearow	2	2	Pink	Normal	Flying
Fearow	6	5	Blue	Normal	Flying
Ekans	3	3	Pink	Poison	
Arbok	6	5	Blue	Poison	
Pikachu	3	3	Starter	Electric	
Raichu	6	6	Blue	Electric	
Sandshrew	3	2	Pink	Ground	
Sandslash	4	5	Green	Ground	
Nidoranâ™€	2	2	Pink	Poison	
Nidorina	4	5	Green	Poison	
Nidoqueen	7	5	Blue	Poison	Ground
Nidoranâ™‚	2	3	Pink	Poison	
Nidorino	5	5	Green	Poison	
Nidoking	7	6	Blue	Poison	Ground
Clefairy	3	3	Starter	Fairy	
Clefable	5	4	Green	Fairy	
Vulpix	3	1	Pink	Fire	
Ninetales	7	5	Blue	Fire	
Jigglypuff	3	2	Pink	Normal	Fairy
Wigglytuff	5	4	Green	Normal	Fairy
Zubat	2	3	Pink	Poison	Flying
Golbat	4	4	Green	Poison	Flying
Oddish	2	2	Pink	Grass	Poison
Gloom	4	5	Green	Grass	Poison
Vileplume	7	5	Blue	Grass	Poison
Paras	3	1	Pink	Bug	Grass
Parasect	5	5	Green	Bug	Grass
Venonat	2	2	Pink	Bug	Poison
Venomoth	6	5	Blue	Bug	Poison
Diglett	2	3	Pink	Ground	
Dugtrio	4	4	Green	Ground	
Meowth	3	3	Starter	Normal	
Persian	7	6	Blue	Normal	
Psyduck	3	2	Pink	Water	
Golduck	6	5	Blue	Water	
Mankey	4	5	Green	Fighting	
Primeape	7	7	Blue	Fighting	
Growlithe	5	4	Green	Fire	
Arcanine	6	7	Red	Fire	
Poliwag	2	2	Pink	Water	
Poliwhirl	4	4	Green	Water	
Poliwrath	6	7	Blue	Water	Fighting
Abra	3	2	Pink	Psychic	
Kadabra	5	4	Green	Psychic	
Alakazam	6	7	Red	Psychic	
Machop	4	5	Green	Fighting	
Machoke	6	7	Blue	Fighting	
Machamp	7	8	Red	Fighting	
Bellsprout	2	1	Pink	Grass	Poison
Weepinbell	4	3	Green	Grass	Poison
Victreebel	6	6	Blue	Grass	Poison
Tentacool	2	1	Pink	Water	Poison
Tentacruel	4	4	Green	Water	Poison
Geodude	2	1	Pink	Rock	Ground
Graveler	4	4	Green	Rock	Ground
Golem	6	6	Blue	Rock	Ground
Ponyta	5	5	Green	Fire	
Rapidash	6	7	Red	Fire	
Slowpoke	3	2	Pink	Water	Psychic
Slowbro	5	3	Green	Water	Psychic
Magnemite	2	2	Pink	Electric	Steel
Magneton	4	4	Green	Electric	Steel
Farfetch'd	6	5	Blue	Normal	Flying
Doduo	2	3	Pink	Normal	Flying
Dodrio	5	5	Green	Normal	Flying
Seel	5	5	Green	Water	
Dewgong	6	7	Red	Water	Ice
Grimer	3	3	Pink	Poison	
Muk	4	4	Green	Poison	
Shellder	2	2	Pink	Water	
Cloyster	4	5	Green	Water	Ice
Gastly	2	2	Pink	Ghost	Poison
Haunter	5	4	Green	Ghost	Poison
Gengar	7	7	Red	Ghost	Poison
Onix	6	7	Red	Rock	Ground
Drowzee	4	4	Green	Psychic	
Hypno	7	6	Blue	Psychic	
Krabby	2	3	Pink	Water	
Kingler	4	5	Green	Water	
Voltorb	3	3	Pink	Electric	
Electrode	4	5	Green	Electric	
Exeggcute	2	1	Pink	Grass	Psychic
Exeggutor	6	7	Red	Grass	Psychic
Cubone	4	3	Green	Ground	
Marowak	6	6	Blue	Ground	
Hitmonlee	6	7	Blue	Fighting	
Hitmonchan	6	7	Blue	Fighting	
Lickitung	5	4	Green	Normal	
Koffing	5	4	Green	Poison	
Weezing	6	5	Blue	Poison	
Rhyhorn	6	6	Blue	Ground	Rock
Rhydon	6	8	Red	Ground	Rock
Chansey	7	7	Red	Normal	
Tangela	4	3	Green	Grass	
Kangaskhan	6	7	Red	Normal	
Horsea	2	1	Pink	Water	
Seadra	4	5	Green	Water	
Goldeen	2	2	Pink	Water	
Seaking	4	4	Green	Water	
Staryu	3	2	Pink	Water	
Starmie	4	4	Green	Water	Psychic
Mr. Mime	7	6	Blue	Psychic	Fairy
Scyther	6	7	Red	Bug	Flying
Jynx	6	5	Blue	Ice	Psychic
Electabuzz	6	8	Red	Electric	
Magmar	6	7	Red	Fire	
Pinsir	6	5	Blue	Bug	
Tauros	7	8	Red	Normal	
Magikarp	2	1	Pink	Water	
Gyarados	7	8	Red	Water	Flying
Lapras	6	7	Red	Water	Ice
Ditto	5	5	Green	Normal	
Eevee	5	3	Green	Normal	
Vaporeon	7	6	Blue	Water	
Jolteon	7	6	Blue	Electric	
Flareon	7	6	Blue	Fire	
Porygon	5	4	Green	Normal	
Omanyte	7	5	Blue	Rock	Water
Omastar	6	7	Red	Rock	Water
Kabuto	7	5	Blue	Rock	Water
Kabutops	6	7	Red	Rock	Water
Aerodactyl	6	7	Red	Rock	Flying
Snorlax	7	7	Red	Normal	
Articuno	8	9	Legendary	Ice	Flying
Zapdos	8	9	Legendary	Electric	Flying
Moltres	8	9	Legendary	Fire	Flying
Dratini	7	5	Blue	Dragon	
Dragonair	6	6	Red	Dragon	
Dragonite	7	7	Red	Dragon	Flying
Mewtwo	9	9	Legendary	Psychic	
Mew	9	10	Legendary	Psychic	
